cd_ibge,risco_medio,prevalencia_observada,n_familias
2706109,0.19325062284742178,0.24728321135506764,4509
2705705,0.1538041420294941,0.22326589595375723,2768
2706422,0.1360644217936495,0.21072386058981232,1865
2707909,0.12304150772693112,0.16333725029377202,851
2705408,0.12201054393014288,0.15745079662605435,2134
2703403,0.12027883061853484,0.14148179154457932,2389
2703502,0.1179104063945931,0.2183406113537118,687
2702801,0.11051122608704175,0.13020662512299114,3049
2706703,0.10847504569452807,0.12990287635412776,10708
2704609,0.10809039486072401,0.1340833079963515,3289
