cd_ibge,risco_medio,prevalencia_observada,n_familias
2701506,0.010738898814053769,0.011225144323284156,3118
2705002,0.01300869332521676,0.01756440281030445,2562
2704104,0.01541466974455416,0.008499413833528723,3412
2709004,0.015724280831496046,0.007097497198356369,2677
2701357,0.01613868163776936,0.023791250959324637,1303
2708204,0.018109308478552043,0.006617038875103391,1209
2703700,0.020603069938434006,0.007445141065830721,2552
2705507,0.020833256618436432,0.027870680044593088,4485
2705309,0.021554352769085378,0.005804749340369393,1895
2708303,0.02156016230944302,0.03207427727368643,4739
